Variable,Contribution
3TQSM_SNc_left_meansusc,0.09095625899167763
3TQSM_PA_striatum_left_meansusc,0.06425456702739983
3TQSM_VTA_right_meansusc,0.0640149714076723
3TQSM_PA_striatum_right_meansusc,0.03657920757022251
3TQSM_SNc_right_meansusc,0.03487144630681783
3TQSM_VTA_left_meansusc,0.014636681888229877
3TQSM_LI_striatum_left_meansusc,0.006657751018045134
3TQSM_RM_striatum_right_meansusc,0.004921341816078659
3TQSM_TE_striatum_left_meansusc,0.0033542480910901964
3TQSM_Ventralstriatum_left_meansusc,0.00289939047456883
3TQSM_Ventralstriatum_right_meansusc,0.0022361274919324467
3TQSM_LI_striatum_right_meansusc,0.002200978015219501
3TQSM_RM_striatum_left_meansusc,0.00027167277167277184
3TQSM_Putamen_left_meansusc,0.00024878656040319767
3TQSM_SNr_left_meansusc,8.286728178369081e-05
3TQSM_Caudate_right_meansusc,-0.00033831878699963256
3TQSM_Putamen_right_meansusc,-0.0013732292675791133
3TQSM_EX_striatum_left_meansusc,-0.008289216788829792
3TQSM_TE_striatum_right_meansusc,-0.009870656247204235
3TQSM_CM_striatum_right_meansusc,-0.011439882700718614
3TQSM_SNr_right_meansusc,-0.015389055389055393
3TQSM_OC_striatum_right_meansusc,-0.022706967739862475
3TQSM_EX_striatum_right_meansusc,-0.023303869476470097
3TQSM_Caudate_left_meansusc,-0.028232814947076624
3TQSM_OC_striatum_left_meansusc,-0.05449193200720997
3TQSM_CM_striatum_left_meansusc,-0.06364778925924439
