Variable,Contribution
3TQSM_CM_striatum_right_meansusc,0.07263864959517134
3TQSM_PA_striatum_left_meansusc,0.05242198791347399
3TQSM_SNc_right_meansusc,0.03917267917267917
3TQSM_VTA_left_meansusc,0.03722868359710465
3TQSM_SNr_right_meansusc,0.0328560056501233
3TQSM_PA_striatum_right_meansusc,0.03054800754800755
3TQSM_Caudate_right_meansusc,0.011429824561403507
3TQSM_EX_striatum_left_meansusc,0.006896189336978811
3TQSM_LI_striatum_left_meansusc,0.006666666666666667
3TQSM_TE_striatum_left_meansusc,0.004258343275505745
3TQSM_Ventralstriatum_right_meansusc,0.0007983025746183636
3TQSM_LI_striatum_right_meansusc,0.0002188838852925551
3TQSM_RM_striatum_right_meansusc,-0.0007692307692307692
3TQSM_SNr_left_meansusc,-0.0025589225589225588
3TQSM_TE_striatum_right_meansusc,-0.0030718745192429412
3TQSM_RM_striatum_left_meansusc,-0.004276094276094275
3TQSM_Putamen_left_meansusc,-0.004501378795496443
3TQSM_OC_striatum_left_meansusc,-0.0064031066972243455
3TQSM_Putamen_right_meansusc,-0.006461538461538462
3TQSM_EX_striatum_right_meansusc,-0.0083944099378882
3TQSM_SNc_left_meansusc,-0.011202014349325561
3TQSM_Ventralstriatum_left_meansusc,-0.013341176939003023
3TQSM_VTA_right_meansusc,-0.01923171822020927
3TQSM_OC_striatum_right_meansusc,-0.0294891395154553
3TQSM_CM_striatum_left_meansusc,-0.037773726101899475
3TQSM_Caudate_left_meansusc,-0.040252485228087595
