Variable,Contribution
3TQSM_OC_striatum_right_meansusc,0.050971163683237994
3TQSM_Caudate_left_meansusc,0.05064979636806261
3TQSM_VTA_right_meansusc,0.04550632296341678
3TQSM_CM_striatum_right_meansusc,0.04021504932689143
3TQSM_SNc_right_meansusc,0.035980104039432345
3TQSM_OC_striatum_left_meansusc,0.02715914924428857
3TQSM_Putamen_right_meansusc,0.025089569701024807
3TQSM_EX_striatum_right_meansusc,0.02255722106460766
3TQSM_CM_striatum_left_meansusc,0.01888040684456757
3TQSM_Caudate_right_meansusc,0.016141140306774982
3TQSM_SNr_left_meansusc,0.012865550413925028
3TQSM_LI_striatum_left_meansusc,0.011066688213747037
3TQSM_RM_striatum_left_meansusc,0.007492725756741777
3TQSM_Ventralstriatum_left_meansusc,0.00723429454824999
3TQSM_TE_striatum_right_meansusc,0.006407540988423342
3TQSM_EX_striatum_left_meansusc,0.006176998969955626
3TQSM_Putamen_left_meansusc,2.3215108926509797e-05
3TQSM_RM_striatum_right_meansusc,-0.0003545151802824442
3TQSM_Ventralstriatum_right_meansusc,-0.0009407934113816474
3TQSM_VTA_left_meansusc,-0.0021128568140952055
3TQSM_LI_striatum_right_meansusc,-0.002827443525972938
3TQSM_SNr_right_meansusc,-0.011850755840306922
3TQSM_PA_striatum_right_meansusc,-0.014336613005730655
3TQSM_TE_striatum_left_meansusc,-0.014379708226070452
3TQSM_SNc_left_meansusc,-0.05522884661777849
3TQSM_PA_striatum_left_meansusc,-0.07994950748475786
