Variable,Contribution
3TQSM_SNc_left_meansusc,0.07846965661343439
3TQSM_PA_striatum_right_meansusc,0.07690619842347866
3TQSM_PA_striatum_left_meansusc,0.0666090643818972
3TQSM_VTA_right_meansusc,0.062146585164286054
3TQSM_Caudate_left_meansusc,0.030638351955050033
3TQSM_SNc_right_meansusc,0.028456413627079263
3TQSM_VTA_left_meansusc,0.015405912657460646
3TQSM_TE_striatum_left_meansusc,0.008887525729630995
3TQSM_SNr_right_meansusc,0.008047147297147297
3TQSM_CM_striatum_right_meansusc,0.006936726800890887
3TQSM_LI_striatum_right_meansusc,0.006793817580195288
3TQSM_Ventralstriatum_left_meansusc,0.0058401410438023715
3TQSM_RM_striatum_right_meansusc,0.005814198958935801
3TQSM_Ventralstriatum_right_meansusc,0.004194110685209757
3TQSM_RM_striatum_left_meansusc,0.0023646989081771695
3TQSM_LI_striatum_left_meansusc,-0.00027108180204155443
3TQSM_EX_striatum_left_meansusc,-0.0029670879372891753
3TQSM_Putamen_right_meansusc,-0.002994718889068734
3TQSM_Putamen_left_meansusc,-0.003743921426583965
3TQSM_SNr_left_meansusc,-0.004038469714553306
3TQSM_TE_striatum_right_meansusc,-0.010200893605305371
3TQSM_Caudate_right_meansusc,-0.019258828102245794
3TQSM_OC_striatum_left_meansusc,-0.022089589959279683
3TQSM_OC_striatum_right_meansusc,-0.023097059129953867
3TQSM_EX_striatum_right_meansusc,-0.03659090651350713
3TQSM_CM_striatum_left_meansusc,-0.05648876197761646
