Variable,Contribution
3TQSM_VTA_right_meansusc,0.05693556537625388
3TQSM_VTA_left_meansusc,0.024575407378425947
3TQSM_SNc_left_meansusc,0.02350542170260504
3TQSM_Caudate_right_meansusc,0.010563543970126281
3TQSM_Ventralstriatum_right_meansusc,0.010149309296368121
3TQSM_SNc_right_meansusc,0.009955532055377256
3TQSM_CM_striatum_left_meansusc,0.00802972343560579
3TQSM_OC_striatum_left_meansusc,0.007688736948304185
3TQSM_EX_striatum_right_meansusc,0.007117794643723438
3TQSM_SNr_right_meansusc,0.006985028860028858
3TQSM_RM_striatum_right_meansusc,0.0051077240612844325
3TQSM_LI_striatum_right_meansusc,0.0032189016120904666
3TQSM_SNr_left_meansusc,0.0013106000753059575
3TQSM_CM_striatum_right_meansusc,0.000915262154426241
3TQSM_Ventralstriatum_left_meansusc,-0.0015450539698756145
3TQSM_Putamen_right_meansusc,-0.00307895736301309
3TQSM_LI_striatum_left_meansusc,-0.0038463953773551296
3TQSM_TE_striatum_left_meansusc,-0.004114024377182272
3TQSM_RM_striatum_left_meansusc,-0.005734716296501193
3TQSM_Putamen_left_meansusc,-0.0077069974216965745
3TQSM_EX_striatum_left_meansusc,-0.00815367368269845
3TQSM_PA_striatum_right_meansusc,-0.011636176886782621
3TQSM_TE_striatum_right_meansusc,-0.01797317687758864
3TQSM_OC_striatum_right_meansusc,-0.03026718938096647
3TQSM_PA_striatum_left_meansusc,-0.03072920171217384
3TQSM_Caudate_left_meansusc,-0.03217042412152791
