Variable,Contribution
Right_Caudal_motor_9,0.14809419746919747
Right_Limbic_8,0.02717948717948718
Left_Caudal_motor_9,0.021583971583971583
Right_Parietal_8,0.011250000000000001
Right_Temporal_8,0.009462759462759462
Left_Temporal_8,0.00925925925925926
Right_Rostral_motor_9,0.008333333333333333
Left_Temporal_9,0.006884437873214966
Left_Limbic_9,0.005744047619047618
Right_Occipital_9,0.004462759462759464
Right_Occipital_8,0.0028835978835978844
Right_Temporal_9,0.0
Left_Rostral_motor_8,0.0
Left_Executive_8,-0.001817765567765566
Left_Limbic_8,-0.0021059853316045263
Left_Caudal_motor_8,-0.003981106612685559
Left_Parietal_8,-0.004166666666666667
Left_Occipital_8,-0.005466778591778594
Right_Caudal_motor_8,-0.0063519813519813525
Right_Parietal_9,-0.006756206756206756
Right_Rostral_motor_8,-0.00888888888888889
Right_Limbic_9,-0.009712947870842604
Right_Executive_8,-0.010711996336996337
Left_Executive_9,-0.011689665969851727
Right_Executive_9,-0.012281297134238311
Left_Occipital_9,-0.018772130647130646
Left_Parietal_9,-0.019413740642455813
Left_Rostral_motor_9,-0.025328385065227173
