Variable,Contribution
Left_Caudal_motor_8,0.05114438491218677
Left_Rostral_motor_9,0.035544731727394266
Left_Temporal_8,0.032738957407688056
Right_Executive_9,0.030947446793994117
Left_Temporal_9,0.027345070793213206
Right_Occipital_8,0.022158655499986763
Left_Occipital_8,0.014302114552114553
Right_Limbic_9,0.012485179308708723
Left_Limbic_9,0.011849271299735696
Left_Limbic_8,0.009911083326718001
Right_Rostral_motor_8,0.008941687941687941
Right_Caudal_motor_8,0.008046124927703877
Left_Parietal_8,0.006797264654849795
Right_Executive_8,0.005386923533982358
Left_Occipital_9,0.003549158529808684
Left_Rostral_motor_8,0.0032574397280279634
Right_Temporal_8,0.0028888888888888896
Right_Limbic_8,0.002721654563759828
Right_Occipital_9,0.001754225306856886
Left_Parietal_9,-0.0019258541297173689
Right_Rostral_motor_9,-0.0020915032679738555
Right_Parietal_8,-0.0030596614714261763
Right_Temporal_9,-0.006080382580382579
Left_Caudal_motor_9,-0.009794871794871795
Left_Executive_8,-0.021729389518863204
Right_Parietal_9,-0.024273120632825843
Left_Executive_9,-0.026243574508280396
Right_Caudal_motor_9,-0.03887959810065747
