Variable,Contribution
3TQSM_PA_striatum_left_meansusc,0.05789443153452442
3TQSM_Caudate_left_meansusc,0.05176707080615751
3TQSM_VTA_right_meansusc,0.04252383130285607
3TQSM_SNc_left_meansusc,0.03743581624960344
3TQSM_PA_striatum_right_meansusc,0.021822103017755192
3TQSM_VTA_left_meansusc,0.016719889816639043
3TQSM_OC_striatum_left_meansusc,0.0159851805687719
3TQSM_LI_striatum_left_meansusc,0.011832244008714597
3TQSM_EX_striatum_left_meansusc,0.0061805460621250086
3TQSM_RM_striatum_left_meansusc,0.005137418137418137
3TQSM_SNr_right_meansusc,0.003049378253325622
3TQSM_SNr_left_meansusc,-0.0003115781134356982
3TQSM_OC_striatum_right_meansusc,-0.0011614104706209965
3TQSM_LI_striatum_right_meansusc,-0.0024879461515785375
3TQSM_TE_striatum_left_meansusc,-0.0037676017266810103
3TQSM_Putamen_left_meansusc,-0.003861598440545808
3TQSM_TE_striatum_right_meansusc,-0.004001322751322751
3TQSM_Putamen_right_meansusc,-0.004923821305400253
3TQSM_Ventralstriatum_right_meansusc,-0.005975797448165868
3TQSM_RM_striatum_right_meansusc,-0.006850918145035792
3TQSM_Ventralstriatum_left_meansusc,-0.008662969123327181
3TQSM_SNc_right_meansusc,-0.00908271924154277
3TQSM_CM_striatum_right_meansusc,-0.01216566929802224
3TQSM_EX_striatum_right_meansusc,-0.024583934583934586
3TQSM_Caudate_right_meansusc,-0.026902582119973425
3TQSM_CM_striatum_left_meansusc,-0.0330154482457114
