Variable,Contribution
Left_Caudal_motor_8,0.04197771824552011
Left_Temporal_9,0.034354196772153435
Left_Temporal_8,0.03123757480336427
Right_Caudal_motor_9,0.015827643201785077
Left_Executive_8,0.015758984193194717
Left_Limbic_9,0.011986837437301834
Right_Executive_8,0.010411433337903927
Right_Occipital_8,0.008926268978126563
Left_Parietal_8,0.006797264654849795
Right_Limbic_9,0.006795566089683736
Left_Occipital_8,0.006760522157580982
Right_Rostral_motor_8,0.0015607355607355608
Right_Parietal_8,0.000829227417462712
Left_Rostral_motor_8,0.00015753309870956985
Right_Temporal_8,-3.174603174603089e-05
Right_Occipital_9,-0.0013175472618197077
Right_Rostral_motor_9,-0.001486928104575163
Right_Limbic_8,-0.0022783454362401714
Right_Caudal_motor_8,-0.002423166702578466
Left_Occipital_9,-0.003726482495832341
Right_Temporal_9,-0.0037634669252316305
Left_Limbic_8,-0.003866264454499749
Left_Caudal_motor_9,-0.007958614484930277
Right_Parietal_9,-0.009268415193337794
Left_Parietal_9,-0.02886251768402798
Left_Executive_9,-0.029636385286540085
Left_Rostral_motor_9,-0.0768315399197752
Right_Executive_9,-0.10423777827492998
