Variable,Contribution
3TQSM_VTA_right_meansusc,0.06068376068376069
3TQSM_PA_striatum_left_meansusc,0.0435157967462534
3TQSM_TE_striatum_right_meansusc,0.03362713675213676
3TQSM_Putamen_right_meansusc,0.021333602757751365
3TQSM_PA_striatum_right_meansusc,0.017202013672601907
3TQSM_Caudate_right_meansusc,0.016711309523809524
3TQSM_RM_striatum_right_meansusc,0.0125
3TQSM_EX_striatum_right_meansusc,0.012324758574758576
3TQSM_OC_striatum_right_meansusc,0.009463141025641029
3TQSM_EX_striatum_left_meansusc,0.005408653846153846
3TQSM_Ventralstriatum_right_meansusc,0.005207949944792051
3TQSM_CM_striatum_left_meansusc,0.0024129430940576443
3TQSM_OC_striatum_left_meansusc,0.0013614766081871343
3TQSM_LI_striatum_left_meansusc,0.0
3TQSM_CM_striatum_right_meansusc,0.0
3TQSM_VTA_left_meansusc,0.0
3TQSM_SNr_left_meansusc,0.0
3TQSM_Putamen_left_meansusc,-0.004899446958270487
3TQSM_SNr_right_meansusc,-0.005263157894736842
3TQSM_Caudate_left_meansusc,-0.006677133173843701
3TQSM_RM_striatum_left_meansusc,-0.011278195488721804
3TQSM_LI_striatum_right_meansusc,-0.012307692307692308
3TQSM_TE_striatum_left_meansusc,-0.013460393772893773
3TQSM_Ventralstriatum_left_meansusc,-0.013891941391941392
3TQSM_SNc_right_meansusc,-0.030970899155883674
3TQSM_SNc_left_meansusc,-0.04781137539361223
