Variable,Contribution
3TQSM_PA_striatum_left_meansusc,0.05889443153452443
3TQSM_PA_striatum_right_meansusc,0.04577448397013614
3TQSM_VTA_right_meansusc,0.038058919022154324
3TQSM_VTA_left_meansusc,0.03020192824604589
3TQSM_SNc_left_meansusc,0.029871463935251117
3TQSM_TE_striatum_left_meansusc,0.01874814396553527
3TQSM_LI_striatum_right_meansusc,0.012609878065827721
3TQSM_LI_striatum_left_meansusc,0.012420479302832242
3TQSM_EX_striatum_left_meansusc,0.008013879395458341
3TQSM_OC_striatum_left_meansusc,0.007679625013216347
3TQSM_SNc_right_meansusc,0.005898867373036171
3TQSM_TE_striatum_right_meansusc,0.005015339933818196
3TQSM_Ventralstriatum_left_meansusc,0.0038701705955710534
3TQSM_SNr_right_meansusc,-0.0007692307692307692
3TQSM_Ventralstriatum_right_meansusc,-0.001451987924356344
3TQSM_SNr_left_meansusc,-0.0017401495420071268
3TQSM_Putamen_right_meansusc,-0.005693052074631022
3TQSM_Putamen_left_meansusc,-0.008703703703703703
3TQSM_RM_striatum_left_meansusc,-0.011053058053058054
3TQSM_RM_striatum_right_meansusc,-0.012804232804232804
3TQSM_OC_striatum_right_meansusc,-0.015786410470620998
3TQSM_EX_striatum_right_meansusc,-0.020159692159692166
3TQSM_Caudate_right_meansusc,-0.02023591545330676
3TQSM_CM_striatum_right_meansusc,-0.049046621678974625
3TQSM_Caudate_left_meansusc,-0.06762148662883956
3TQSM_CM_striatum_left_meansusc,-0.06939947649816072
