Variable,Contribution
3TQSM_CM_striatum_left_meansusc,0.0727512889587193
3TQSM_VTA_right_meansusc,0.06782661782661784
3TQSM_PA_striatum_left_meansusc,0.057065936299682415
3TQSM_Caudate_left_meansusc,0.04392045454545455
3TQSM_Caudate_right_meansusc,0.02077380952380952
3TQSM_SNr_right_meansusc,0.019736842105263157
3TQSM_EX_striatum_right_meansusc,0.012324758574758576
3TQSM_Ventralstriatum_left_meansusc,0.011108058608058607
3TQSM_LI_striatum_right_meansusc,0.007692307692307693
3TQSM_PA_striatum_right_meansusc,0.00678534700593524
3TQSM_RM_striatum_left_meansusc,0.006578947368421054
3TQSM_RM_striatum_right_meansusc,0.00625
3TQSM_OC_striatum_right_meansusc,0.0036298076923076935
3TQSM_CM_striatum_right_meansusc,0.003125
3TQSM_Ventralstriatum_right_meansusc,0.0029352226720647774
3TQSM_OC_striatum_left_meansusc,0.0013614766081871343
3TQSM_LI_striatum_left_meansusc,0.0
3TQSM_SNr_left_meansusc,0.0
3TQSM_VTA_left_meansusc,-0.0017857142857142857
3TQSM_Putamen_left_meansusc,-0.004899446958270487
3TQSM_EX_striatum_left_meansusc,-0.008653846153846154
3TQSM_Putamen_right_meansusc,-0.009221952797804193
3TQSM_TE_striatum_right_meansusc,-0.010616772932949405
3TQSM_TE_striatum_left_meansusc,-0.013460393772893773
3TQSM_SNc_left_meansusc,-0.024734452316689158
3TQSM_SNc_right_meansusc,-0.0878009885711124
