Variable,Contribution
3TQSM_PA_striatum_left_meansusc,0.04372664386983272
3TQSM_PA_striatum_right_meansusc,0.03981744383889693
3TQSM_VTA_right_meansusc,0.03324955933150172
3TQSM_VTA_left_meansusc,0.023380220212650547
3TQSM_CM_striatum_left_meansusc,0.02336336325066975
3TQSM_CM_striatum_right_meansusc,0.015272448011225105
3TQSM_Caudate_right_meansusc,0.008359521685221647
3TQSM_EX_striatum_right_meansusc,0.0077912785672073605
3TQSM_Ventralstriatum_left_meansusc,0.005006807710469038
3TQSM_TE_striatum_left_meansusc,0.0046282664703717336
3TQSM_SNr_right_meansusc,0.004615435490435491
3TQSM_RM_striatum_right_meansusc,0.004528629265471371
3TQSM_Ventralstriatum_right_meansusc,0.0037867361969529173
3TQSM_SNr_left_meansusc,0.0011271521879107017
3TQSM_Putamen_right_meansusc,-0.0005987861181359635
3TQSM_Putamen_left_meansusc,-0.0016623208507042134
3TQSM_LI_striatum_left_meansusc,-0.002281460312420065
3TQSM_RM_striatum_left_meansusc,-0.002377980439765337
3TQSM_EX_striatum_left_meansusc,-0.00384998144556968
3TQSM_Caudate_left_meansusc,-0.004429236444968711
3TQSM_TE_striatum_right_meansusc,-0.01135419352176318
3TQSM_SNc_right_meansusc,-0.013755682813345353
3TQSM_LI_striatum_right_meansusc,-0.020809523809523812
3TQSM_OC_striatum_right_meansusc,-0.024722992836769923
3TQSM_OC_striatum_left_meansusc,-0.03226262797790594
3TQSM_SNc_left_meansusc,-0.11144615541538073
