Variable,Contribution
3TQSM_SNc_left_meansusc,0.10624769660450775
3TQSM_VTA_right_meansusc,0.08021203947984135
3TQSM_Caudate_left_meansusc,0.05884826768805096
3TQSM_CM_striatum_left_meansusc,0.03787865828701742
3TQSM_EX_striatum_right_meansusc,0.029791555666555662
3TQSM_SNc_right_meansusc,0.028727896845156906
3TQSM_PA_striatum_left_meansusc,0.02270980477211127
3TQSM_Caudate_right_meansusc,0.02262322300461686
3TQSM_VTA_left_meansusc,0.019500476103417277
3TQSM_Putamen_right_meansusc,0.011902959670761527
3TQSM_CM_striatum_right_meansusc,0.010060849295756414
3TQSM_EX_striatum_left_meansusc,0.009178648707673476
3TQSM_TE_striatum_right_meansusc,0.007491867394731173
3TQSM_SNr_right_meansusc,0.003999542124542124
3TQSM_SNr_left_meansusc,0.003231612685560053
3TQSM_PA_striatum_right_meansusc,0.0028799911220829246
3TQSM_LI_striatum_left_meansusc,0.002276561888403993
3TQSM_Putamen_left_meansusc,0.0021961041755092104
3TQSM_RM_striatum_left_meansusc,0.0002532348150197117
3TQSM_RM_striatum_right_meansusc,4.1479074760808845e-05
3TQSM_Ventralstriatum_left_meansusc,2.1978021978022177e-05
3TQSM_TE_striatum_left_meansusc,-0.001534123770965876
3TQSM_Ventralstriatum_right_meansusc,-0.0036301249919670976
3TQSM_LI_striatum_right_meansusc,-0.007699733072798088
3TQSM_OC_striatum_right_meansusc,-0.010828531576209595
3TQSM_OC_striatum_left_meansusc,-0.028817831452011694
