Variable,Contribution
3TQSM_Caudate_left_meansusc,0.08221308884352364
3TQSM_SNc_left_meansusc,0.05690833363602242
3TQSM_CM_striatum_left_meansusc,0.04661756887763079
3TQSM_Ventralstriatum_left_meansusc,0.02269719481995697
3TQSM_PA_striatum_right_meansusc,0.02113059163059164
3TQSM_Caudate_right_meansusc,0.017346491228070176
3TQSM_PA_striatum_left_meansusc,0.015825633287707586
3TQSM_OC_striatum_right_meansusc,0.012660391079508728
3TQSM_TE_striatum_left_meansusc,0.012322969395859423
3TQSM_SNc_right_meansusc,0.012143182353708672
3TQSM_EX_striatum_left_meansusc,0.01174467418546366
3TQSM_OC_striatum_left_meansusc,0.008533730158730159
3TQSM_EX_striatum_right_meansusc,0.003565297021818759
3TQSM_RM_striatum_left_meansusc,0.0029663299663299668
3TQSM_Putamen_left_meansusc,0.0018295778295778276
3TQSM_SNr_left_meansusc,-0.0015009746588693956
3TQSM_LI_striatum_right_meansusc,-0.0033644494480407783
3TQSM_TE_striatum_right_meansusc,-0.004035910483278904
3TQSM_Putamen_right_meansusc,-0.004978021978021979
3TQSM_RM_striatum_right_meansusc,-0.005674603174603174
3TQSM_LI_striatum_left_meansusc,-0.007916666666666666
3TQSM_Ventralstriatum_right_meansusc,-0.014037268416138384
3TQSM_VTA_right_meansusc,-0.018777561266052317
3TQSM_CM_striatum_right_meansusc,-0.024865481722427477
3TQSM_SNr_right_meansusc,-0.030147126022126023
3TQSM_VTA_left_meansusc,-0.035799583070867905
